t,S_wR_kgR,S_wR_kgL,S_wR_ka,S_wR_Kf,S_wR_Kq,S_wL_kgR,S_wL_kgL,S_wL_ka,S_wL_Kf,S_wL_Kq
0.46,0.013347760091075326,0.0,-0.06690811760714517,-0.30358155858087404,-0.013273253678597692,0.0,-0.013347760091075326,0.06690811760714517,0.30358155858087404,0.013273253678597692
0.465,0.013481547890422604,0.0,-0.06824118332472633,-0.30767045654215225,-0.01368982507076351,0.0,-0.013481547890422604,0.06824118332472633,0.30767045654215225,0.01368982507076351
0.47,0.01361506672933537,0.0,-0.06958486270668153,-0.31175368475918486,-0.014113929249856999,0.0,-0.01361506672933537,0.06958486270668153,0.31175368475918486,0.014113929249856999
0.475,0.01374831457871503,0.0,-0.0709390843355623,-0.31583106111500503,-0.014545595545292627,0.0,-0.01374831457871503,0.0709390843355623,0.31583106111500503,0.014545595545292627
0.48,0.013881289489363817,0.0,-0.07230377714367642,-0.31990241167738387,-0.014984852688919031,0.0,-0.013881289489363817,0.07230377714367642,0.31990241167738387,0.014984852688919031
0.485,0.014013989590514484,0.0,-0.07367887041615909,-0.3239675703652569,-0.015431728824838882,0.0,-0.014013989590514484,0.07367887041615909,0.3239675703652569,0.015431728824838882
0.49,0.014146413088306897,0.0,-0.07506429379360406,-0.328026378628767,-0.015886251518789415,0.0,-0.014146413088306897,0.07506429379360406,0.328026378628767,0.015886251518789415
0.495,0.014278558264221138,0.0,-0.07645997727428015,-0.33207868514237293,-0.01634844776710666,0.0,-0.014278558264221138,0.07645997727428015,0.33207868514237293,0.01634844776710666
0.5,0.014410423473475866,0.0,-0.07786585121595753,-0.33612434551049597,-0.016818344005295333,0.0,-0.014410423473475866,0.07786585121595753,0.33612434551049597,0.016818344005295333
0.505,0.01454200714339981,0.0,-0.07928184633736743,-0.34016322198519494,-0.017295966116225466,0.0,-0.01454200714339981,0.07928184633736743,0.34016322198519494,0.017295966116225466
0.51,0.014673307771783552,0.0,-0.08070789371931801,-0.34419518319538317,-0.017781339437975885,0.0,-0.014673307771783552,0.08070789371931801,0.34419518319538317,0.017781339437975885
0.515,0.014804323925218051,0.0,-0.08214392480548818,-0.3482201038871184,-0.018274488771343744,0.0,-0.014804323925218051,0.08214392480548818,0.3482201038871184,0.018274488771343744
